X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
DDX42;4.193536;3.428132;3.074599;1.912777;4.652363;3.121332;2.490843;4.182538;2.947427;2.665009;3.786897;3.811623;3.869876;4.717755;3.778808;4.600877;4.940756;2.710095;4.558375;3.177095;4.745563;4.797195;3.846074;3.067559;3.917746
DDX43;1.004836;1.059607;9.530016;8.437532;0.921654;9.616491;9.841508;4.004846;2.435515;9.192445;9.143317;1.191991;1.954094;1.534974;1.429738;2.173778;4.372663;1.570026;0.705792;1.773552;1.214196;1.558908;1.371903;0.132659;2.696891
DDX48;7.778368;6.664257;6.397261;4.254563;6.635305;5.887667;2.772747;7.665085;4.148157;4.877604;5.856633;6.465815;8.038353;8.226254;5.847706;3.650089;0;4.388494;0;6.234417;7.517607;7.004743;8.639801;4.057991;5.217237
DDX5;0;0;0;0;0;0;7.541368;0;0;8.301139;0;0;0;0;0;0;0;0;0;0;0;0;0;8.042791;0
DDX50;1.297297;0.903049;8.741241;8.948578;9.173808;8.054767;6.347854;1.005409;6.633971;5.052112;0;8.693694;1.526514;2.662046;1.633986;1.817176;0;1.358296;1.921672;1.561579;1.235905;1.615233;1.499773;1.120664;1.848005
DDX52;1.663929;1.498805;1.510192;1.153323;1.693834;1.615182;1.036289;1.724477;1.419106;1.480264;0.172543;2.195113;2.884292;2.187691;2.143396;1.892429;0.285619;0.172074;2.027598;2.336889;2.394118;3.499279;2.300018;1.755356;2.146383
DDX55;1.273335;1.165059;0;9.859419;1.216218;1.058369;5.509924;1.464087;1.080624;7.402988;2.350292;1.560217;2.387514;1.838634;0;1.257167;2.902382;1.113538;1.999236;1.854857;2.076238;0;1.982128;0;1.741235
DDX56;3.181121;2.030733;2.985897;1.827078;3.288252;2.207651;1.100764;2.196014;1.469663;2.296115;3.019824;2.848192;3.207437;2.783699;2.652137;1.771179;3.296108;1.384768;2.406457;2.261534;2.038742;0;3.032634;1.456716;2.220489
DDX58;5.547237;1.864131;2.722224;2.145715;1.904184;3.845735;0.144696;2.162565;1.683095;1.589693;4.261534;1.968242;4.596365;3.441034;3.218536;4.469508;4.487306;6.094484;2.828673;3.667942;0.344634;6.575685;3.517023;2.477829;2.398439
DDX59;0.079528;0.933999;9.120504;6.896047;8.308215;8.976975;6.616332;1.106861;8.925526;7.709161;8.487717;9.701251;1.596212;1.643169;1.422015;1.489511;1.825259;1.323578;1.547484;1.519091;1.697262;1.390707;1.609695;1.232688;1.148703
DDX6;1.138136;1.079541;1.066846;9.097864;1.189097;8.983247;7.917622;0.896215;9.528173;0.085481;1.256891;1.156398;1.822504;1.974925;1.626608;2.001718;2.351465;1.294193;1.964005;1.577616;1.374146;1.942916;1.824945;1.547048;0.184467
DECR1;3.503614;2.352233;1.960752;1.501378;2.370015;2.570119;1.483578;3.277817;1.405575;1.087479;2.268948;3.413226;9.877641;0;7.124199;4.161704;8.919764;2.884169;4.596309;6.075291;7.632519;5.418295;9.557491;7.017834;8.086804
DECR2;3.046805;0;1.254637;1.756902;4.141516;1.824298;1.184586;1.905251;1.179332;2.023526;1.033043;1.775175;0;2.161708;2.652582;1.196746;0;1.192238;3.744702;1.784353;2.806975;2.328776;2.683124;1.701618;0
DEDD;0.400599;3.122545;2.992144;2.678898;4.091904;0.339873;3.577675;3.405384;2.594003;2.028581;3.284514;4.218595;4.102916;5.288004;3.438257;4.589025;4.337284;3.615581;0.452472;4.498283;5.927819;3.921609;0.469865;3.113563;4.730576
DEDD2;2.348943;1.140107;1.209196;7.475201;0;1.035986;5.396256;1.395976;6.535921;4.983423;0.922876;1.175243;2.660576;2.945422;1.556087;1.653477;2.971984;1.274502;1.737273;3.494296;2.680275;3.967003;2.473816;1.353236;4.506864
DEF6;2.091666;4.624968;3.339773;2.623986;3.920896;0.298076;3.388974;2.660685;2.526329;2.535112;4.326761;0.323496;8.936711;8.438033;6.263117;7.738704;1.038539;2.997743;9.119366;9.140258;6.224243;7.771816;7.883335;6.863652;5.671821
DEFA5;0;0;1.741647;0.761678;0;2.643244;1.039826;0.180143;0;5.857882;1.009267;0;9.978137;0.801418;3.772284;1.687899;1.050942;4.794987;0.336819;5.603284;2.149597;0;4.475134;7.022604;1.216443
DEFB119;0.725955;9.354852;6.921174;7.167513;8.181567;7.538436;6.586932;7.555102;7.724465;0.731309;7.733183;7.926686;0.122797;1.129589;1.202333;1.403291;1.294381;1.076256;1.213463;1.143992;9.843661;1.215264;1.051322;1.080138;9.274672
DEFB123;1.044356;1.059713;1.008946;1.012991;1.036317;7.995925;7.251611;9.140202;8.933056;7.991901;9.815997;8.629661;2.077997;2.135779;1.608789;2.054786;1.698176;1.304283;1.800092;1.747802;1.346266;1.606132;0.153144;0;1.338917
DEFB125;1.433644;1.142976;1.221478;0.984679;1.299342;1.319151;9.025621;1.130395;9.928089;0.978294;1.155549;1.304841;2.692123;2.563979;0;2.295551;2.727553;0.211982;2.186095;2.164457;2.196268;0.217583;2.221527;0.171581;1.632364
DEFB127;8.187186;7.987387;8.820657;7.514422;8.206053;7.144723;6.024995;8.041365;7.501378;7.397471;7.767057;8.452496;1.375698;1.431505;1.201342;1.533008;1.281193;1.230603;1.253403;1.308116;1.124472;0.118797;1.167043;1.175508;9.698612
DEFB129;0.107269;9.410756;9.672472;0.859202;9.556028;1.032129;6.848353;9.071988;8.353973;7.998216;9.636485;8.901637;1.747489;2.056165;1.456801;1.732848;1.873776;1.581244;1.653786;1.826774;1.384705;1.474176;1.638216;1.303076;1.295011
DEFB32;7.622815;8.666911;9.772742;7.337271;0.833024;8.166031;6.826664;5.960486;7.570884;7.663011;7.140676;0.855853;1.487426;1.253732;1.439211;1.416432;0.150571;1.124436;1.396615;1.199589;1.115701;1.149792;1.199467;1.078772;1.017657
DEGS1;1.342118;1.184522;1.119324;1.038854;6.042079;1.044625;8.427231;0.670647;1.119163;3.070657;1.500273;1.424571;1.129149;0;5.209668;0;2.097489;2.381064;2.390736;2.607865;1.428022;2.487386;1.152175;6.112993;1.282588
DEGS2;0.260188;3.993268;1.332096;3.490549;1.508636;2.298096;9.800375;4.550657;3.703065;1.054945;9.200409;2.668815;2.402972;3.381194;3.336478;1.514337;2.134715;0.125298;7.893774;2.271119;4.447245;0.225617;8.645726;3.303471;1.626328
DEK;4.999364;5.284658;3.700563;4.270392;4.578267;5.276278;1.951435;3.483323;1.319341;2.642488;3.738782;1.967236;5.280377;6.151788;3.967989;2.281316;4.662666;1.571622;4.535571;4.293009;5.118026;4.116697;6.840017;3.067858;0
DENND2C;9.403857;1.038798;0.109113;8.505905;8.970506;1.044578;7.971174;1.064169;8.199583;7.983002;0.105825;0.103431;0;1.800396;1.667792;1.670319;1.943133;1.529498;1.568908;1.570385;1.524024;1.850912;1.355617;1.463454;1.192077
DENND2D;1.046323;0;1.145048;8.908869;0.820169;0.922514;6.728378;2.262442;1.717741;6.502685;1.917571;1.299518;2.100364;0;1.277894;8.809041;1.637435;3.912136;2.408816;3.234543;2.438126;1.740332;2.181352;1.007806;1.077032
DENND3;2.130928;3.496117;3.325913;1.515762;2.152682;2.192814;1.922512;2.516657;1.432385;1.312647;2.537506;2.708445;3.819695;4.971979;3.572668;8.394978;4.865409;6.100271;3.800586;5.920858;3.185408;4.485724;3.928493;2.081528;2.962988
DENND4A;2.138443;2.557663;2.449998;1.818582;1.676432;1.596234;1.167539;2.286131;1.289797;1.292285;2.323139;1.796651;4.238208;4.977798;4.027359;5.068985;4.386111;2.935632;5.449797;0.469576;3.310448;0.413359;3.885153;2.492455;3.227213
DEPDC1;7.459991;7.573717;7.995337;7.189826;0.759169;8.595206;7.040238;6.879429;7.224639;8.009621;7.901034;6.789924;1.228251;1.300783;1.117712;1.317151;1.211621;1.180123;1.269746;1.064832;1.067427;1.140457;1.054474;1.036988;9.976965
DEPDC1B;5.971219;4.019193;2.122747;0.219407;4.680226;2.376824;1.095086;3.062663;1.963361;1.511673;3.679484;3.287404;7.549672;8.492117;0.479574;1.815862;1.139153;1.650902;5.798842;5.783674;0;3.523317;8.171324;4.158823;1.253069
DEPDC2;8.790457;0.895991;7.830779;7.856116;8.125259;7.299266;7.825571;7.410209;7.837947;7.108435;7.736401;9.039249;1.335569;1.571748;1.259316;1.411166;1.447775;1.326865;1.165883;1.128679;1.187514;1.270011;1.204637;1.098973;9.495576
DEPDC4;1.232248;1.148769;1.075835;9.373383;1.032559;1.157741;8.018528;1.004579;1.009301;9.134634;9.815698;1.012458;1.978329;2.010079;1.566904;1.732576;1.997521;1.539983;1.911569;1.797145;1.658709;1.647372;1.835876;0.148167;1.630123
DEPDC6;3.439165;3.002395;4.253633;3.306978;6.146442;2.396788;2.060652;3.617209;2.108004;1.665626;1.503863;4.312229;1.277135;6.973347;6.728121;6.215695;1.195479;3.095021;8.613467;4.086829;3.683562;9.624551;6.879535;0.509586;4.481006
DERL1;1.608204;0;2.446066;1.448528;1.813144;2.585896;1.477762;2.388074;1.324673;1.568521;2.035166;2.016497;2.464744;2.638986;1.938632;1.313997;2.406852;9.717037;1.801467;2.442162;3.527347;2.201692;2.927841;1.440885;2.025713
DERL2;6.633782;7.795022;6.601353;5.004626;8.607582;5.505934;4.905301;7.369819;5.061741;2.578607;8.784891;7.983414;1.072637;1.705429;8.457333;8.456394;1.924539;8.698967;1.640336;1.470822;1.040169;0;1.207524;1.033133;1.287556
DEXI;1.493748;0;1.632676;1.817395;2.060193;1.795685;0;1.502528;1.187575;0;1.113843;1.931807;2.783723;3.056124;2.229928;3.385132;3.816221;2.139349;2.500979;2.075643;2.691118;2.231069;2.355813;1.643289;3.754246
DFFA;2.549708;2.326563;2.397176;1.993682;2.162362;0.246729;1.760261;2.373638;1.844942;2.098971;2.287114;2.242458;4.084585;0.432084;0.314951;3.354041;4.108217;2.800825;3.629936;3.905463;3.246423;3.870311;4.405304;2.566946;2.598828
DFFB;8.732251;0.978703;0.903759;7.698216;8.514356;0.786272;6.221674;8.100121;7.443192;7.585741;7.193616;7.360788;1.326041;0.160959;1.419292;1.778722;1.520542;1.157994;1.279848;1.387831;0.142881;1.305746;1.312126;0.119719;1.032422
DFNA5;0.465672;3.814769;4.083611;5.446602;0.442815;3.955145;2.718586;2.154285;0;1.424613;5.328097;9.358893;4.098185;1.088082;3.167599;2.064139;9.996842;0;2.075458;9.498291;3.059933;0;4.235671;2.063598;7.562003
DFNB31;1.476623;1.644255;2.449139;1.361615;1.370168;1.799506;1.408926;1.184138;1.079055;1.309857;1.502639;2.005317;2.609948;2.484425;0.169054;3.958866;2.598594;3.329091;0.186206;2.073634;1.878447;2.128447;2.149415;0.211476;1.662226
DGAT1;1.432587;0;0;6.014296;2.032878;1.350204;8.620412;2.156522;6.263418;1.575146;5.558433;0;2.240864;2.166627;1.692491;7.404175;2.593933;5.534733;1.224662;1.625745;1.470347;1.378051;0;8.143676;1.248915
DGCR14;3.365877;2.711407;2.423548;2.112052;2.898133;2.392135;1.682907;2.059034;1.768263;1.682991;1.986017;2.511066;4.127118;5.040767;3.361373;4.265648;6.002984;3.565833;4.076215;0.408333;3.169288;4.885121;4.509375;3.098564;3.135519
DGCR2;0;1.085821;7.369872;6.393063;1.683024;9.205547;7.753524;6.237455;7.079055;8.116424;7.838489;1.062734;1.586552;1.464896;1.223129;1.532748;2.172042;9.318255;9.817377;9.476512;7.823268;1.629579;1.187924;9.045954;7.095628
DGCR6;2.668692;2.383637;1.834809;1.585243;2.470668;2.718599;0.180747;2.314531;2.334943;2.145551;2.789629;2.561552;3.395153;4.797081;2.636396;3.643203;4.528178;2.625487;3.055791;2.097562;2.023588;2.933999;2.836499;2.592945;1.524799
DGCR8;8.514767;1.186312;4.056588;6.080461;1.164444;9.242776;5.349803;1.286627;5.548634;5.021915;1.353379;1.064869;4.709657;1.223367;6.287607;9.525768;1.222841;3.068645;1.505716;7.286295;6.531382;7.756013;7.653268;5.756452;2.490323
DGKA;8.460679;8.595949;8.104642;7.417755;7.821454;9.270669;7.073569;8.574661;8.536513;7.606229;8.197232;7.463491;1.219594;1.230751;1.220912;1.470532;1.619544;1.163625;1.313362;1.195811;1.263407;1.239492;0.119615;1.085202;0.113001
DGKD;1.306006;1.545914;1.660745;0.140737;2.131622;1.534388;1.126879;2.015463;1.221541;1.020053;9.944215;1.610964;4.265877;4.463083;3.467215;5.022563;4.546218;2.809426;5.254894;5.272028;2.508595;5.100293;3.578302;3.053748;2.464733
DGKE;1.538023;1.116384;1.236964;6.948814;1.183014;8.759727;0.726321;1.364164;9.679502;8.770092;1.382844;8.207593;2.761613;3.051962;1.536458;1.560187;2.201998;1.458536;2.080732;1.774433;1.798811;2.310818;1.887247;0.128738;1.971922
DGKG;1.009719;8.991136;1.112609;1.051498;7.800006;1.429819;9.515518;8.385149;8.346733;0.081651;1.466508;1.226083;1.759781;2.404926;1.460802;2.744609;1.755926;1.597979;1.546312;1.429447;1.610759;1.639105;1.632233;0.119367;1.385079
DGKH;1.307516;1.247789;0.131112;1.092488;1.301502;1.416339;8.223825;1.197824;1.022698;9.361901;1.013169;1.247375;1.888549;1.984577;1.884287;0.167409;2.231663;1.606435;1.333772;1.945752;1.826061;0.194101;2.044732;1.642448;1.734701
DGKI;9.560367;7.419092;1.005341;9.353912;8.412695;8.848208;6.928426;8.539542;0.713689;5.941158;8.418491;1.263094;1.290802;1.780332;1.275973;2.397335;0.168997;0.188754;1.505535;1.404941;1.249844;1.437813;1.214261;0.105916;1.103302
DGKQ;1.043276;1.752331;1.175865;1.235799;1.304008;2.163988;0;3.142887;1.873109;1.702179;1.986919;0.977382;4.416231;2.454168;1.356757;0;2.400365;6.889345;1.232334;0;1.806851;2.512283;2.910094;2.048283;2.769208
DGKZ;9.419573;8.961616;9.205793;8.525426;9.699639;9.201931;6.743584;8.570638;7.958531;7.481268;9.405679;8.548544;1.198005;1.293058;1.315018;1.387012;0.160509;1.181206;1.304084;1.280489;1.159743;1.155781;1.263599;1.177418;1.091364
DGUOK;6.170584;3.863527;4.204839;3.978473;7.781582;4.801744;2.635911;5.271194;3.795135;3.099019;4.343229;4.987954;5.875396;8.958063;4.911344;4.155015;8.969651;4.494221;6.280509;0;7.200197;7.034903;6.696098;3.516169;7.836396
DHCR24;6.153314;4.483987;4.072114;3.414524;6.514755;6.670664;2.885485;7.230229;4.456084;3.429191;2.177405;3.179269;0;1.716891;5.426658;2.695097;2.197797;2.866587;1.465411;0;1.351271;5.053512;1.972703;5.068938;3.016694
DHDDS;3.620186;5.724937;4.500297;2.889476;4.411409;5.135143;2.463625;4.962148;2.804338;0.270653;3.033978;3.381047;6.386984;7.668041;4.945587;6.041926;5.381305;4.073531;6.245298;7.429793;0.701288;4.730169;6.640707;3.286185;3.201668
DHFR;1.435812;0.258434;1.334174;1.276491;1.085535;0.135044;9.766744;2.418224;9.257835;1.456173;1.699712;1.587061;2.374902;2.527939;1.600421;1.834132;1.984066;1.257849;3.476509;2.171335;1.935068;1.858999;3.489399;1.876948;0.200358
DHFRL1;1.458799;1.662261;1.652406;1.118504;1.280979;1.243426;1.044798;1.427604;1.127949;1.016038;1.069024;1.403338;2.492175;0.268185;1.747162;2.244763;2.738731;1.731662;2.312937;2.714896;0.221177;2.384443;1.997452;0.178163;2.833737
DHODH;1.598135;1.198324;1.229727;9.067842;1.178407;1.079753;9.399768;0.138385;1.532544;1.095397;1.236179;1.573722;1.559431;0.247617;1.473666;0.148873;1.794489;1.263874;1.644884;1.432702;1.956706;1.621152;1.950932;1.344596;1.363626
DHPS;1.969747;2.556314;1.942262;1.753144;2.032706;1.952279;8.721919;0;2.465012;1.293064;2.549237;1.913974;4.109469;3.208204;3.461356;2.658093;3.299597;0;3.799969;3.114089;2.813878;3.662869;3.669993;1.918855;1.962338
DHRS1;1.284165;3.034277;1.533179;1.447592;1.876122;0;1.438899;3.093869;1.796073;0;1.379912;2.489813;3.566712;0;2.201828;3.868424;2.483278;0;3.534767;3.445271;5.028833;2.825272;5.677893;2.203917;3.372773
DHRS10;2.083379;1.746355;2.208652;1.787393;2.633701;1.718827;1.591467;1.182057;1.173434;9.922443;2.299302;2.143966;2.607176;4.383392;0.000249;5.962618;6.052283;0.495944;5.883589;0.266462;1.965658;5.252534;2.194094;1.627364;1.689093
DHRS3;8.526943;1.662608;0;1.682543;2.188402;1.432343;0;1.456015;7.841162;9.937036;1.048311;1.072103;2.901757;0;2.086897;3.349051;3.755503;2.801829;0;3.070885;3.955774;2.465053;2.336209;1.478652;1.584376
DHRS7B;0.728002;6.875769;9.510339;4.493286;4.973232;7.489837;4.240226;9.655989;5.960844;2.848979;5.277999;7.810942;1.058809;1.252083;7.405956;9.347632;0;7.441771;1.131503;0;1.158488;1.038705;1.395935;7.910892;7.717999
DHRS8;3.397698;9.030059;0.736889;6.314603;5.989948;4.433306;4.362625;8.300934;6.501186;7.763106;5.634169;0.494597;1.768347;8.638117;6.082978;4.003791;0.868041;3.150887;1.608984;1.232819;1.476424;9.370368;9.836833;1.371871;1.740573
DHTKD1;2.674283;2.636255;2.021733;2.125919;0.247592;2.059703;1.931553;2.728608;2.148077;1.418171;2.108913;2.612482;4.910274;3.866511;3.677256;3.147239;5.025861;2.403325;3.345943;4.382311;5.741179;4.732895;5.148788;3.481819;5.788295
DHX16;2.761461;2.341591;2.066902;1.660129;2.150505;1.993551;1.091842;2.235217;1.118618;1.415551;2.653344;1.940874;3.162609;3.012071;2.115925;2.209463;3.271105;1.634857;3.092931;2.923411;0;2.905662;2.470395;1.362647;1.850181
DHX30;1.122328;1.200264;0;7.848073;1.300289;1.247856;7.950029;1.417588;1.009573;8.723615;1.774342;1.438315;1.572182;1.859322;1.271218;1.720806;2.532949;1.176872;0;8.764595;1.581466;1.517882;1.646051;9.743147;0
DHX32;0;2.043232;2.310524;1.866187;1.888078;3.047201;1.281936;3.146452;2.041156;1.295976;1.308318;1.093169;4.582288;3.658374;3.233674;0;2.744947;1.713208;2.878718;4.752864;3.312946;3.894844;4.137976;0;4.916666
DHX33;9.625492;9.030324;0.926362;6.008955;0.955745;6.424442;0.969277;0;1.218834;9.976951;1.206099;1.327529;1.105978;0;9.720981;7.353319;0;4.737874;1.103747;6.966666;1.037502;1.664957;1.217222;7.484772;1.757731
DHX34;5.027529;3.135587;4.058217;4.123935;6.661994;3.301602;0.268805;3.338962;3.631054;3.376683;3.888829;5.191553;8.858135;6.651574;7.455804;4.416384;0.997127;3.606652;7.821622;4.243529;7.315818;8.915696;6.237813;3.874207;6.425853
DHX35;0.663175;4.856963;5.709453;4.574126;8.546367;6.257313;4.486428;0;0.430428;6.714564;5.090309;5.905543;1.001853;6.669569;5.477679;7.632297;1.035577;5.550784;5.126951;5.262437;5.509988;7.959167;4.377404;4.817641;6.377571
DHX36;7.137774;6.291674;7.923267;6.908734;6.733276;7.868694;3.925548;7.406862;4.651618;3.042225;6.543947;7.184828;7.786761;9.170361;5.770242;0.576629;9.042248;4.832733;0.962443;1.014033;5.937513;8.018022;7.946453;5.243773;8.359696
DHX37;1.122129;0.833015;9.298383;1.189032;1.264658;1.171747;5.825919;1.215928;0.810373;9.335486;1.781708;1.457851;2.606828;2.063338;1.810638;1.096218;3.001107;8.587357;1.728815;0;2.165229;1.868886;2.175637;1.176972;3.152932
DHX38;7.153727;5.634866;5.930994;3.345169;8.104791;5.160466;2.961089;5.664255;0.389324;3.512638;6.292646;6.449205;6.187015;7.960143;5.022052;6.658918;9.190351;4.669987;1.008729;6.505153;5.420441;7.387032;4.696266;3.728209;4.617222
DHX40;1.894736;1.020685;1.246096;8.346348;2.342335;1.164391;8.337216;1.356088;1.087617;7.734709;1.190238;2.437297;1.794387;1.753084;1.393447;1.523896;2.474314;0;0;1.687315;2.989399;1.959345;1.573033;1.545846;1.471789
DHX8;2.777118;2.741055;2.996605;2.239912;2.917839;3.077197;1.542916;2.809544;2.331502;2.090508;3.394192;3.214673;4.888454;5.024167;4.986527;4.481682;6.313762;3.441784;4.929472;4.071553;5.460874;4.350842;3.928387;3.288956;3.374576
DHX9;5.823573;4.325856;0;3.597068;6.114851;4.642724;4.297132;0.719226;0.523518;3.425585;7.740269;8.933987;7.667375;1.013637;6.146868;4.171891;9.679734;0.383344;8.559395;7.475911;1.234203;1.009931;1.080642;5.921588;7.106257
DIABLO;9.336813;1.054562;7.851271;8.614866;1.168452;1.042106;5.833561;1.000702;9.012685;7.023796;1.256108;1.095608;1.405221;2.131914;1.106766;9.079764;2.224786;9.335734;1.616284;1.226094;1.857113;1.181591;1.532055;0;1.125873
DIAPH2;0;1.204649;0;1.626467;1.797036;1.142773;7.611334;1.659387;8.591394;6.905187;9.760749;1.555264;3.134705;1.985081;4.124068;0;3.344375;1.039334;0;2.074031;0;4.680205;2.602467;1.453394;1.841274
DICER1;1.322207;1.083676;1.125456;1.076177;1.331774;1.150788;8.491205;1.190301;9.746842;8.091257;1.012445;1.100094;1.633739;1.796493;0.178588;1.800717;2.157964;1.654297;1.789168;1.696734;1.779027;1.613887;1.782323;0.161056;1.422982
DIDO1;4.158277;4.799313;7.752636;3.065773;9.075396;4.517788;2.690504;4.813673;0.443032;6.087527;4.964343;7.009756;1.293979;9.760077;9.077145;8.573768;1.413723;3.877101;1.197573;9.679881;4.880908;1.097224;3.751455;5.551404;7.574058
DIO2;2.284654;6.767372;1.748047;6.049142;5.276331;5.864813;2.751164;3.333026;2.671052;1.521674;5.060244;1.155232;6.119795;1.598345;5.719028;4.331687;1.315986;1.162097;0;1.048034;2.461361;2.077272;6.968316;2.407747;9.672909
DIO3;1.135536;1.035362;1.640487;8.843694;1.143595;1.260217;1.379968;9.905934;8.851202;1.320909;2.972505;3.867019;2.798085;1.817936;2.529362;3.323542;2.318143;1.689007;1.739721;1.653821;2.241453;2.175146;1.932838;1.689168;1.975589
DIP13B;1.661217;2.895599;2.231692;0;2.569354;2.485012;9.245566;3.181325;0;1.603035;0;2.054822;2.886375;0;1.949871;1.282649;0;0.807003;2.649675;2.871435;3.633136;2.884189;2.089209;1.651264;1.510557
DIP2C;2.000858;2.513983;4.273687;0.343532;3.243277;2.463971;3.516199;4.097817;2.684814;1.767368;2.939213;3.894192;3.331864;8.637801;3.653005;2.223268;0.649294;1.037833;6.809999;2.925023;0.461096;6.481468;2.123303;3.734586;3.307994
DIPA;1.310177;1.091487;1.254084;9.773806;1.222997;1.090372;9.232227;1.124172;1.062241;9.306995;1.315263;1.077561;0.248237;2.488986;1.805419;2.178495;0.333389;1.879803;2.048746;0.185528;1.658266;2.306077;2.038065;1.593449;1.552498
DIRAS1;9.081337;1.112084;1.029701;7.949779;9.107729;0.916792;7.451332;9.388423;8.378152;8.745889;8.817407;8.255397;1.586716;1.822087;1.123657;1.650156;1.683089;1.235887;1.355719;1.297263;1.286889;0;1.530162;1.302857;0.113122
DIRAS2;7.281807;8.041413;8.680589;7.432262;8.397894;6.235667;6.555763;6.937523;6.629742;0.731246;8.311006;8.671581;1.224124;1.231064;1.260172;1.409471;1.382543;1.132437;0;1.134302;1.070256;1.312837;1.160688;1.091865;0.936536
DIRAS3;1.273955;1.203349;1.230774;0.116964;1.235287;1.155304;9.508852;1.035534;1.054788;8.700416;0.115229;1.287897;2.086539;1.960446;1.655663;2.339774;2.130714;1.620002;1.943863;1.626934;0.167712;1.627692;1.809412;1.598843;1.387136
DIRC2;9.476882;0;2.087928;8.486062;1.254519;1.484427;4.575337;1.511968;8.549238;3.937083;1.042522;1.334399;2.245296;2.396889;8.601193;1.127714;1.945891;1.043785;0;3.905709;1.830792;1.406828;1.692398;1.307162;1.279943
DISC1;9.363336;9.515836;8.962294;8.602922;8.454208;7.940385;6.706107;0.856907;8.625383;7.080537;7.550609;8.554503;1.271729;1.447735;1.237975;1.578136;1.434783;1.345888;1.256916;0.119237;1.289705;1.208954;1.252623;1.249802;1.081053
DISP1;1.928433;0.262033;2.177667;2.553943;2.095815;1.522123;2.625572;2.577404;1.782552;1.182411;2.335338;2.278806;4.188563;6.692928;2.875637;1.536536;0.501188;0.516401;5.965109;4.175224;0.676725;4.206084;2.447584;3.235551;7.620812
DISP2;0.126522;2.605787;1.283913;1.024655;2.310314;1.190466;9.244732;2.829049;1.760233;1.180104;1.241087;1.498085;2.176243;2.066895;1.800611;1.677945;3.111042;1.575544;3.827001;2.035894;2.051215;1.528272;3.381214;0;1.481749
DJ122O8.2;1.187696;8.541735;9.543969;1.352779;8.119243;0;8.233375;1.273746;1.079164;1.157572;9.204835;1.216221;2.580892;1.811247;1.151628;1.243104;2.168015;1.075453;1.783928;1.802384;0;2.324534;1.710932;1.357872;1.340543
DKC1;6.379583;5.170032;5.681256;5.010043;7.745543;0;3.753492;6.773394;4.940617;5.508544;6.410515;9.208735;0;7.889263;0;2.223802;0;1.842896;5.929694;0;8.736999;0;9.227312;4.205875;8.108574
DKFZp434B1231;9.275664;9.364122;7.956331;8.861327;8.110786;8.972667;1.058299;6.897453;7.294926;7.411591;7.733847;8.211936;1.162614;0.132984;1.139613;1.522006;1.303768;0;1.388367;1.212148;1.075117;1.138038;1.242714;1.123836;1.062784
DKFZp434O0527;1.074803;1.002055;1.115975;7.685504;1.207296;1.325842;9.040999;1.275411;9.634179;8.320472;0.106089;1.113393;2.014995;2.078006;0.162265;2.264722;2.256041;1.833301;1.863462;1.885271;2.016074;1.802825;1.994546;1.786085;1.651559
DKFZp564K142;6.469426;6.232377;0;0;3.516204;5.388535;4.226923;5.237859;4.823108;4.491285;6.192566;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DKFZP564O0823;1.108316;0;6.116872;1.779151;3.336433;4.312161;2.014479;8.193777;0;2.193013;4.398183;0;5.096571;4.306392;3.273152;1.180429;4.196269;9.322367;1.436467;6.258487;5.944746;4.344558;4.833129;3.759123;5.180233
DKFZP566N034;1.259781;1.297762;1.749835;1.225967;1.172453;1.356833;2.788341;0.133267;1.331676;7.318925;1.267553;1.250957;2.185813;2.694304;1.960462;2.441131;2.447841;1.620302;2.202036;4.114496;3.288609;3.562575;1.756413;2.549678;2.065751
DKFZP586D0919;1.213266;9.500139;1.070322;6.893248;1.384369;8.982534;6.521018;1.065796;1.309857;0.895504;1.217548;1.713048;1.583729;1.783143;1.412559;1.598626;0;1.405185;2.374248;2.339429;2.651484;0;1.451864;1.358313;1.579613
DKFZP586H2123;2.378405;3.165617;1.077825;3.727567;3.229691;6.360188;2.137556;3.122762;4.424593;1.991333;2.324664;5.275447;6.472487;7.890533;4.591282;0;0;2.169463;4.864355;4.401875;5.509129;6.692524;3.923673;2.412042;3.535435
DKFZP686A01247;5.762813;9.125684;4.715795;5.342927;0.315887;7.181478;0.365273;4.435034;2.232952;3.010722;1.344349;0;7.171613;1.061133;3.291778;1.996249;1.070356;1.733681;4.771351;7.601568;1.108087;8.704208;1.290113;4.016375;8.346403
DKFZP686A10121;0.125961;1.292654;1.385519;1.137873;1.373376;1.443378;8.843952;0.140899;8.201238;0.861814;1.139957;1.525906;3.198195;2.320372;2.103083;2.229071;2.830424;1.836234;1.768949;2.532951;2.270015;2.222645;2.716765;1.933924;2.061449
DKFZp686I15217;3.429479;2.919412;2.123007;1.897303;0.184326;2.356523;2.110734;2.809155;1.517241;1.433799;2.644117;2.633812;2.603435;3.511428;2.231474;0.287002;3.602002;2.050679;7.778212;2.758082;0.266549;2.521307;2.605111;2.406129;2.403761
DKFZp686L1814;2.912494;4.197844;3.750669;2.071669;3.605448;0.242755;1.648714;3.644597;2.563013;2.416367;0.301481;3.082326;7.306899;8.656503;4.269445;4.980623;6.899844;3.191891;7.473581;5.389913;7.067546;4.205089;9.298957;0.470669;6.082219
