CACO2	COLO201
CTBP1	9.207871305	9.724345667
CTBP2	10.54686233	11.37185918
CTBS	6.341180316	6.140164336
CTCF	9.499057879	9.580294094
CTCFL	3.446741853	3.391908709
CTDP1	6.818162362	6.748142168
CTDSP1	8.525782139	8.858032733
CTDSP2	9.308646222	8.835055986
CTDSPL	8.878530935	8.666790989
CTDSPL2	7.942780589	8.192965222
CTF1	5.30735903	5.406066322
CTGF	5.988902969	4.328520527
CTH	7.292014106	6.191438601
CTHRC1	5.930110649	3.995465192
CTNNA1	11.27898532	11.45888292
CTNNA2	4.095593957	5.244965554
CTNNAL1	10.14363737	8.43617972
CTNNB1	6.614890437	4.824823845
CTNNBIP1	7.498610257	9.169631252
CTNNBL1	9.304889537	8.654937396
CTNND1	10.07270613	8.542391569
CTNS	7.001303537	6.741378327
CTPS2	7.806707593	8.11822265
CTRC	4.652862029	4.952107832
CTRL	5.349978795	4.95241229
CTSB	8.367316169	10.25297378
CTSC	9.206345505	8.768425366
CTSD	7.684064864	9.548407006
CTSE	6.116044975	5.467225256
CTSF	6.217937784	6.373109276
CTSH	9.61809326	9.906222699
CTSK	5.170637108	5.333251629
CTSL	8.227849541	7.581382436
CTSO	5.448017355	5.109664038
CTSS	3.563666881	6.4526268
CTSW	5.391588241	5.608135095
CTSZ	9.462450369	9.365612561
CTTN	7.069657638	6.731185372
CTTNBP2	4.180722823	4.577462539
CTTNBP2NL	4.574225221	5.381900382
CUBN	4.431138949	4.347180578
CUEDC1	6.606896708	7.022387097
CUL1	8.951258227	8.730031281
CUL2	6.934911524	6.22152846
CUL3	7.180542863	7.962044271
CUL4A	7.212055396	5.295585689
CUL4B	7.629027769	6.712049314
CUL5	7.127555228	6.455992472
CUL7	4.958881744	4.89543759
CUTA	10.25039987	10.73981945
CWF19L1	5.136219446	4.925192862
CWF19L2	7.676856251	6.788911638
CX3CL1	4.868544964	5.256651368
CX3CR1	3.641491666	3.63422328
CXADR	7.952285002	4.370160065
CXCL1	4.877076828	4.977337016
CXCL10	4.731668008	4.384489459
CXCL11	3.016550507	3.093632295
CXCL14	3.935207227	4.263252024
CXCL16	8.558585528	5.99175319
CXCL2	5.332503189	5.499734068
CXCL3	5.395044957	5.405935625
CXCL5	3.351734596	3.370511759
CXCL6	3.300625334	3.376529518
CXCL9	4.408600147	4.430019523
CXCR3	4.975547444	7.900554896
CXCR4	5.019563753	9.002933001
CXorf23	5.080703561	6.346718137
CXorf38	6.994778217	7.912922023
CXorf40A	6.295868236	6.401175992
CXorf40B	8.400995822	9.106809769
CXorf56	6.647308059	7.247746025
CXXC1	6.85183133	7.078083789
CXXC4	4.130434667	4.150447873
CYB561	8.962598567	9.581540735
CYB561D1	6.626869189	7.223378366
CYB561D2	8.081426892	8.025569508
CYB5A	9.779335954	10.18952494
CYB5D1	6.823685242	7.834090765
CYB5D2	6.649383706	6.766369814
CYB5R1	8.4708696	8.064477073
CYB5R2	4.021887571	7.135211833
CYB5R3	7.128875688	6.405858295
CYB5R4	7.944519242	7.427868463
CYBA	10.95466296	11.61251989
CYBB	4.397159468	4.743263943
CYBRD1	4.776869694	4.345787086
CYC1	10.34873882	10.4026647
CYCS	5.724826484	5.438405085
CYFIP1	11.33587247	10.22353545
CYFIP2	8.298523882	7.523479048
CYGB	4.481833474	4.365948626
CYHR1	7.103005141	7.021613428
CYLD	6.851413473	6.767619438
CYP11A1	4.280591338	4.091923356
CYP17A1	4.701920321	6.357012684
CYP19A1	4.179327461	4.518455386
CYP1A1	9.744864897	6.973808843
CYP1A2	6.390780259	6.006384662
CYP1B1	5.459129002	7.000919862
CYP20A1	8.072146602	7.125785142
CYP21A2	5.309675093	5.207189394
CYP24A1	3.459530708	4.510933503
CYP26A1	5.066891773	4.839655958
CYP26B1	5.060893314	4.261271878
CYP27A1	7.178887266	8.498511639
CYP27B1	7.392599408	6.855542452
CYP2B6	4.063461018	6.153662495
CYP2C18	4.147315143	4.109161921
CYP2C19	3.865683276	3.901687372
CYP2C8	3.411333273	3.274771754
CYP2C9	3.945270189	4.143478104
CYP2E1	4.485976135	5.438115652
CYP2F1	3.569805701	3.601286205
CYP2J2	5.342540466	6.196571437
CYP2R1	5.867218086	6.858342155
CYP2S1	7.128635323	6.16412672
CYP2W1	5.761200302	5.946509095
CYP39A1	3.119832767	5.48997215
CYP3A4	4.573975573	4.789526629
CYP3A5	4.914527517	7.02412131
CYP3A7	4.672476408	5.295055509
CYP4B1	3.399836852	3.549581448
CYP4F11	3.417087768	3.988678618
CYP4F12	5.533159234	6.855002303
CYP4F2	4.629689501	5.609714057
CYP4F3	3.399892418	7.200232818
CYP4X1	5.2498637	3.494432619
CYP51A1	9.050749521	6.674920667
CYR61	9.662687155	4.202378308
DAAM1	8.296166974	8.360832545
DAAM2	5.112148933	4.894469519
DAB1	3.749596631	3.789100106
DAB2	9.354587798	8.257208969
DAB2IP	6.504860559	7.331176658
DACH1	3.483314648	3.905173664
DACT1	4.157152158	4.307139128
DAD1	10.77501591	11.76497156
DAG1	10.36805899	9.64070648
DALRD3	7.636576348	7.322318976
DAND5	4.52876529	4.615462115
DAP	7.941744302	9.251732035
DAP3	10.48325461	10.04336082
DAPK1	9.267809195	4.489440119
DAPK2	4.936568971	4.830436526
DAPK3	5.134982966	4.537214718
DAPP1	3.688453579	3.724940743
DARS	9.731591749	9.990037046
DARS2	7.870344509	7.427502736
DAXX	7.769010448	7.652737886
DAZAP1	9.456769503	9.785112727
DBF4	9.328772559	8.835701052
DBF4B	7.188529859	6.978659862
DBI	11.48496568	11.76811378
DBN1	8.615092156	7.063952949
DBP	6.153099846	6.4171616
DBT	5.434488257	4.437901265
DCAKD	6.587413473	7.32483175
DCBLD2	8.807931549	8.987635235
DCC	4.073629696	3.96348689
DCDC2	8.153391046	3.619852288
DCHS1	4.955776601	4.993442066
DCHS2	3.440664532	3.58538029
DCK	8.504087199	9.022269271
DCLRE1A	7.824097738	7.822706978
DCLRE1C	8.093079323	7.378078659
DCN	4.880811277	5.038823674
DCP1A	8.00432283	7.955563273
DCPS	8.817293823	9.216843711
DCST1	4.731772852	4.717198608
DCST2	4.505677784	4.129666796
DCT	4.324050243	4.486767322
DCTD	7.883616623	8.021774024
DCTN1	7.230875313	6.909011507
DCTN3	9.410366763	9.836621695
DCTN4	7.436906774	6.391119843
DCTN5	6.951091006	7.57257554
DCTN6	9.663904251	9.875203581
DCUN1D1	5.092438827	5.035739333
DCUN1D3	6.817036862	6.630031236
DCUN1D4	6.139102224	6.157091084
DCUN1D5	11.09577142	9.931807981
DCXR	9.281756478	9.435691276
DDA1	7.773486588	8.30167498
DDAH1	10.58434471	9.549196025
DDAH2	8.198058821	8.512306699
DDB1	10.10810166	9.513131102
DDB2	7.671396086	8.12227629
DDC	9.30181696	6.683896377
DDHD1	4.506775782	5.812403318
DDIT3	9.443130472	8.815151582
DDIT4	9.388843408	8.987186152
DDO	4.064939555	4.563655426
DDOST	11.61412162	11.01098714
DDR1	8.732734806	9.828479741
DDR2	4.505697667	4.395365795
DDT	9.117580047	9.654465714
DDX1	11.01534774	10.20392935
DDX10	9.585659416	8.595970996
DDX11	5.91154638	5.627969727
DDX17	6.501353979	6.08736985
DDX18	9.561740713	9.286988029
DDX19A	8.942072229	8.04710763
DDX19B	5.998221927	5.902623629
DDX20	6.629884765	6.4760977
DDX21	11.83975402	10.61504957
DDX23	9.219406633	9.076146806
DDX24	8.395657843	8.311854974
DDX27	9.709211227	9.621209566
DDX28	7.317013282	7.474679157
DDX31	6.56224157	6.646610591
DDX3X	9.840917297	9.130689487
DDX4	3.940732047	3.992714498
DDX41	9.216232927	8.927004496
DDX42	5.73878109	5.302344836
DDX43	3.524251188	3.398226004
DDX47	11.0486052	9.190853774
DDX49	7.541645165	7.801595997
DDX5	7.726687547	8.180881096
DDX50	7.243734316	6.54489682
DDX52	8.229887669	7.609921726
DDX55	8.12361116	7.693184856
DDX56	9.105776959	8.54984738
DDX58	6.264612698	5.353195295
DDX59	8.443765966	8.386578834
DDX6	5.578363107	5.116702647
DECR1	8.896551383	9.828423401
DECR2	7.943330053	8.32103493
DEDD	6.018284647	5.986891522
DEDD2	8.254483346	9.40606407
DEF6	5.022830664	6.717260929
DEFA6	5.464781597	5.267860095
DEFB1	7.130867685	4.991167022
DEGS1	8.828578219	8.167083597
DEGS2	5.505141751	5.597864241
DEK	11.15326649	11.03575396
DENND2C	4.91524531	4.523674483
DENND2D	7.859157746	7.585115779
DENND3	6.910370548	5.6234579
DENND4A	4.511153163	5.708442192
DENND4C	8.793686746	9.123336225
DEPDC1	7.381445824	6.323055929
DEPDC1B	8.927218628	7.863637794
DEPDC4	3.817304699	3.516786704
DERL1	7.693033473	8.160429238
DERL2	8.847136472	9.584571681
DES	6.083938285	5.936226277
DEXI	7.587751207	7.995068725
DFFA	8.952116754	7.860546879
DFFB	6.259521102	7.092875317
DFNA5	8.649829204	4.440847162
DGAT1	7.855457026	8.102353504
DGCR14	5.30114577	5.377859671
DGCR2	8.947792603	8.664579168
DGCR6L	4.898988999	4.974420548
DGCR8	6.841291722	6.715555275
DGKA	6.704355668	6.261995547
DGKD	9.750986881	7.95693652
DGKE	6.498571408	6.9396629
DGKG	4.527371219	5.198682378
DGKH	4.316781235	4.831795089
DGKQ	7.086975315	9.207906856
DGKZ	7.30338873	8.075250917
DGUOK	8.568634489	8.704470192
DHCR24	10.58846992	9.467537237
DHCR7	9.359602125	7.02068212
DHDDS	6.694230088	6.710289085
DHDH	5.757163442	5.12213774
DHFR	9.164904232	10.01163172
DHFRL1	4.748035397	6.381744068
DHH	3.987193303	4.12323766
DHODH	7.353390083	6.722603038
DHPS	7.919721036	8.739431647
DHRS1	7.28516092	8.202950974
DHRS2	7.378646541	5.534259291
DHRS3	7.60083174	8.106589586
DHRS7	9.567385042	9.095246651
DHRS7B	8.015655254	8.444093456
DHTKD1	8.458166146	7.124485865
DHX15	10.02156058	10.26708334
DHX16	8.293813225	8.520886038
DHX30	7.683885648	7.166897239
DHX32	8.582899194	9.059522266
DHX33	8.384140898	8.668566476
DHX34	7.06275828	6.888693112
DHX35	7.235141864	7.159630347
DHX36	8.842038301	8.809043314
DHX37	7.583667216	7.338132101
DHX38	7.17570388	6.642615261
DHX40	8.022786183	8.249127609
DHX57	7.14268166	6.359553895
DHX8	5.082161703	5.720977795
DHX9	5.320314207	5.379233426
DIABLO	10.11981692	10.19276016
DIAPH2	6.934565893	7.82304515
DICER1	8.209949478	7.943468585
DIDO1	8.641949822	8.80881009
DIO1	5.72654778	3.538289473
DIO2	4.094141639	4.027069069
DIO3	5.708767639	5.657026527
DIP2C	6.833299755	5.777844629
DIRAS1	5.394788869	5.334891839
DIRAS2	3.208481886	4.286567095
DIRAS3	3.92374749	6.903474075
DIRC2	9.458014318	7.396962957
DISC1	5.049767741	4.955423105
DISP1	5.829218122	5.90260791
DISP2	6.761912046	6.615895338
DKC1	9.873978135	10.07096934
DKK1	13.18515043	3.883489062
DKK3	8.367024536	4.227449962
DKK4	4.907402087	4.882052873
DKKL1	5.703628198	5.703464917
DLAT	8.824301604	7.477637851
DLC1	8.948932214	5.373066241
DLD	7.029151518	6.897828035
DLEC1	4.524042654	4.634951294
DLEU1	8.937884373	9.611309637
DLG1	7.978334301	7.182363539
DLG2	5.028909765	4.526837797
DLG3	7.489262145	7.850221625
DLG4	4.277914545	4.684444596
DLG5	5.305633339	5.029887818
DLGAP1	3.605288381	3.778343886
DLGAP4	5.256433961	5.507652098
DLL1	4.691907863	6.626434219
DLL3	5.604894071	4.789718188
DLST	8.953270033	9.425836621
DLX1	5.785605375	3.630612716
DLX2	4.161409388	3.895199048
DLX3	4.582417931	4.327467432
DLX4	6.795531131	5.428502572
DLX5	4.632632207	4.85925943
DMAP1	7.586283928	7.677790918
DMBT1	6.298248369	6.311944522
DMBX1	3.09492413	3.134257081
DMC1	3.888534068	4.22400436
DMD	7.466557334	3.616434943
DMPK	5.244029504	5.702091119
DMRT1	3.633793093	3.726646404
DMRT2	3.472070193	4.236338464
DMRT3	3.42752345	3.501743185
DMRTA1	4.325112138	4.518923747
DMTF1	8.309458454	8.060295407
DMWD	5.249605847	5.456360675
DMXL1	7.374500967	7.32942154
DMXL2	5.173098782	7.586288282
DNAH10	4.529884354	4.634389627
DNAH3	3.948107282	3.711298872
DNAH5	4.319650968	4.269852461
DNAH8	4.306916616	4.24813214
DNAH9	4.64884545	5.580395606
DNAI1	4.676381224	4.522428013
DNAJA1	10.46164078	10.24184338
DNAJA2	8.516515825	8.40320691
DNAJA3	8.921486847	9.240050165
DNAJA4	5.664516779	8.620698706
DNAJB1	7.92080168	8.933839047
DNAJB11	10.93559961	11.00906953
DNAJB12	7.229046191	8.167416078
DNAJB13	5.430478289	5.292606554
DNAJB14	7.52519062	7.563087243
DNAJB2	7.465755472	7.557151282
DNAJB4	6.14098876	5.928816459
DNAJB6	8.504115712	7.552023138
DNAJB7	2.984150117	3.077022577
DNAJB9	6.329000952	6.339252822
DNAJC1	9.148756529	8.244803362
DNAJC11	6.867394565	6.937552948
DNAJC12	3.981786504	5.412523116
DNAJC14	6.11543789	6.055463474
DNAJC15	11.04328439	12.82406559
DNAJC17	6.574811359	7.032607162
DNAJC18	6.536533958	4.801858926
DNAJC3	6.196402498	8.210842193
DNAJC4	7.18490689	7.241185569
DNAJC5	8.672666496	8.893531182
DNAJC5G	5.296412786	5.032159977
DNAJC6	6.533689851	5.573550843
DNAJC7	6.50917158	6.308610311
DNAJC9	9.400896382	9.35700575
DNAL4	6.903838448	7.280851754
DNALI1	4.495291538	4.827885211
DNASE1	5.724545569	5.392094501
DNASE1L1	7.044829928	7.835395617
DNASE1L2	5.669937904	5.958610503
DNASE2	5.074571078	7.753792793
DNASE2B	3.731182584	3.857342873
DND1	7.216424391	7.939500185
DNM1	5.322935661	6.953224736
DNM1L	9.24411223	7.81184731
DNM2	6.64845043	7.010103687
DNM3	3.113642234	3.381564862
DNMBP	8.118323257	7.985151992
DNMT1	10.11106491	10.70760407
DNMT3A	8.286319796	7.958170721
DNMT3B	8.382542026	5.172465594
DNMT3L	5.496744127	4.901048851
DNPEP	9.331750709	9.43378618
DNTTIP1	8.944731966	9.484341617
DNTTIP2	9.026947297	9.24644398
DOC2A	5.254900258	5.475893868
DOCK1	6.040022961	6.050944278
DOCK3	4.002925756	3.920385937
DOCK4	4.199494714	7.363203752
DOCK5	5.679330154	5.060232985
DOCK8	6.761973891	3.258894223
DOCK9	5.202543812	3.818018785
DOK1	6.119644299	6.388692607
DOK3	5.126874484	4.758601449
DOK4	8.410529455	7.726164069
DOLPP1	7.871982456	7.938597763
DONSON	8.505299615	8.383340766
DOPEY1	3.998157053	4.413737789
DOPEY2	5.475300581	5.697891669
DPAGT1	9.5954991	8.633632761
DPCR1	4.235549642	4.283051655
DPEP2	4.505287093	4.51557741
DPF1	5.986611372	5.82030783
DPF2	9.225462145	8.9055031
DPH2	7.640354113	7.818961908
DPH5	5.139760856	5.458976531
DPM1	11.45017703	11.09308109
DPM2	7.506201196	8.625354962
DPM3	7.228607841	8.529973251
DPP3	9.019340906	9.185425073
DPP4	9.334242576	6.640327546
DPP7	6.518620839	7.198825087
DPP8	7.755478925	8.455804262
DPY19L3	7.746133925	7.966230835
DPYD	2.898248823	3.157133628
DPYSL2	10.24923365	10.99389955
DPYSL3	8.984817001	4.176041678
DPYSL4	4.349536433	4.974793923
DPYSL5	4.650918201	4.576805713
DQX1	4.932646871	5.799337167
DR1	7.367565465	7.572838422
DRAP1	7.980255756	9.029122427
DRD1	3.19156509	3.246610502
DRD2	6.881922501	6.405230497
DRD4	4.682358315	4.708509525
DRG1	10.19859665	10.10787746
DRG2	7.843193313	7.721178799
DRP2	6.172295256	6.029888944
DSC1	3.355349729	3.386078284
DSC2	9.190528613	8.834613891
DSC3	8.027966423	3.758042738
DSCAML1	3.738300342	5.033868053
DSCR9	5.852414497	5.250710044
DSG1	3.254074104	3.289582148
DSG2	7.326098221	6.903267457
DSG3	3.31994689	3.649235108
DSG4	3.603620311	3.526924081
DSP	11.07226689	10.4085615
DST	5.81396799	5.362613191
DSTN	11.70957583	11.75984444
DTL	8.843463461	9.597528281
DTNA	4.973644735	4.301786984
DTNB	6.485861215	6.177411642
DTNBP1	7.280553133	8.197800251
DTWD1	5.692421945	6.719527381
DTX1	5.773878855	5.842028136
DTX3L	8.866535133	8.98847401
DUOX2	5.155943106	3.724836028
DUS4L	5.916293714	5.456950684
DUSP1	8.821647575	6.169894653
DUSP10	5.192833796	7.631727905
DUSP11	8.642281188	8.748618348
DUSP12	9.383353825	9.045117996
DUSP13	5.093540565	4.965036352
DUSP14	9.01704472	7.81738842
DUSP15	5.861364076	5.837970257
DUSP16	6.931793428	4.860663078
DUSP18	6.48164332	6.548095689
DUSP19	3.843319439	3.625906035
DUSP2	7.005141047	6.430519897
DUSP22	8.137601939	9.562878285
DUSP23	8.196294054	9.567152879
DUSP3	6.693440483	4.865932089
DUSP4	7.555843745	10.35400066
DUSP5	7.507099794	5.526763197
DUSP6	8.902461575	10.37314135
DUSP7	7.003490094	6.955292217
DUSP8	6.554234465	6.040196028
DUSP9	6.593105011	5.479510926
DUT	7.689439205	9.011566315
DVL1	8.800754923	9.244386248
DVL2	8.049273822	8.77522052
DVL3	8.661887406	7.784498033
DYM	7.191227155	7.492931546
DYNC1H1	6.599119518	5.898009845
DYNC1I1	5.855707899	4.957647579
DYNC1LI1	7.808033644	7.551489954
DYNC1LI2	8.917844941	8.326450741
DYNC2LI1	7.105330756	7.75815003
DYNLL2	8.046255723	7.626412521
DYNLT1	10.61181826	10.79346436
DYNLT3	9.879880839	9.585003372
DYRK1A	9.456194185	9.815345863
DYRK1B	5.601111996	5.534059689
DYRK2	7.578669344	8.51321848
DYRK3	5.684975041	5.98671374
DYRK4	7.15090081	7.574323953
DYSF	6.674786156	6.508231691
DYX1C1	4.079180282	5.478528886
DZIP1	4.990186875	4.993954284
DZIP1L	5.274180685	4.937314624
DZIP3	8.237711679	7.047667122
E2F1	7.379243637	7.707947128
E2F2	7.224436535	7.554414878
E2F3	8.384382809	9.078243522
E2F4	7.276988278	7.159252432
E2F5	6.876938675	5.21513165
E2F6	9.353679228	8.556505337
E2F7	8.271737255	8.174178559
E2F8	8.939708394	8.208180276
E4F1	7.682544783	7.553511192
EAF1	8.039999842	7.927250901
EAF2	6.684106646	7.586211048
EBAG9	8.214833482	8.949003034
EBI3	5.368623345	4.6719615
EBNA1BP2	9.973222259	9.972908022
EBP	10.2813199	10.09944651
EBPL	10.76922762	11.01860407
ECD	8.707878924	8.239214713
ECE1	7.953341833	8.361650857
ECH1	9.105623955	10.56705269
ECHDC2	5.873170058	8.114090851
ECHDC3	7.384651766	4.983296558
ECHS1	11.48883511	10.89398154
ECM1	5.567582714	8.354929672
ECM2	3.850786675	3.878177166
ECT2	6.320990593	6.129776762
EDA	5.239113123	5.385592956
EDA2R	5.101798076	4.845179
EDAR	5.864335386	7.627549037
EDARADD	4.088815288	4.164242084
EDEM1	5.577001603	6.133144553
EDF1	10.63857346	11.30466458
EDIL3	3.697364953	3.40356793
EDN1	8.199141125	5.390689823
EDN2	5.262420197	5.448899957
EDN3	4.209242847	3.977096861
EDNRB	7.665700043	4.907400974
EEA1	6.664684226	4.043725819
EED	7.118055041	3.852267198
EEF1A1	8.401980115	7.460373844
EEF1A2	6.74434312	6.417941288
EEF1B2	12.64844256	12.10064663
EEF1D	5.078656049	5.589753319
EEF1E1	9.881676433	9.544147554
EEF1G	13.07874184	12.65059446
EEF2	12.2534521	12.05019476
EEF2K	6.781061548	7.676984607
EFCAB3	3.345812906	3.144021337
EFEMP2	4.570063857	4.889977627
EFHC1	6.701961119	8.245846937
EFHD1	5.042387583	4.791891107
EFHD2	7.074401131	8.724735906
EFNA1	8.516828539	7.692189799
EFNA2	4.430707684	4.183117834
EFNA3	5.800182334	6.772179108
EFNA4	6.811121979	7.141588271
EFNA5	4.759940626	7.90456598
EFNB1	5.999477369	6.224547161
EFNB2	10.68657946	11.81013743
EFNB3	5.974302584	4.83467027
EFTUD2	4.91515014	5.468597617
EGF	3.500834958	3.544706039
EGFL7	6.599661569	6.469134899
EGFR	8.594291933	6.991045662
EGLN1	6.642019595	5.420559988
EGLN2	8.246614007	8.060216307
EGLN3	6.139802796	6.715999106
EGR1	8.549227353	9.099537365
EGR2	4.462085738	4.804890476
EGR3	3.977807873	4.583870322
EGR4	3.881551624	4.325319034
EHBP1	7.845651821	7.775952001
EHD1	7.513436739	6.672522798
EHD2	6.328210942	5.926294959
EHD3	4.792154164	5.629126119
EHD4	8.19433975	8.922520797
EHF	4.999717537	11.31723866
EHHADH	6.732175969	6.53102506
EHMT2	7.545889662	8.255096903
EI24	10.91666091	9.612778775
EIF1AX	9.365428925	9.523380495
EIF1B	10.00786194	9.648965236
EIF2AK1	10.0095031	9.950450108
EIF2AK2	7.485432292	6.966207655
EIF2B1	9.419051539	9.352805354
EIF2B2	8.388809775	8.543631408
EIF2B3	8.424065371	8.581362613
EIF2B5	5.300775421	4.881198202
EIF2S2	8.252574288	7.941406151
EIF2S3	8.759168789	8.335835992
EIF4A2	6.203951859	4.504962587
EIF4B	6.77276889	6.825991016
EIF4E	7.6524245	7.687248543
EIF4EBP1	10.29135059	10.85858495
EIF4EBP2	4.226638911	3.622758654
EIF4ENIF1	8.13536326	7.622982926
EIF4G1	8.518158024	8.253562539
EIF4G2	12.83099124	12.78596772
EIF4G3	7.561904593	7.406524712
EIF5	9.085138835	7.898496769
EIF5A	10.22269951	10.97329635
EIF5A2	6.27489367	5.369530776
ELAC1	5.523147647	5.829366157
ELAC2	8.152324834	8.939784131
ELAVL1	4.921616828	4.87062076
ELAVL2	3.864826404	4.003204241
ELAVL3	3.755791428	3.730539577
ELF1	8.360248953	9.199988732
ELF2	7.647378713	7.287497959
ELF3	7.564112833	8.312990294
ELF4	8.199566296	8.438461094
ELF5	4.078402681	4.657267248
ELK1	6.475511562	6.601655924
ELK3	3.881040068	7.910719787
ELK4	4.071602121	4.963973639
ELL	3.441805693	3.651983076
ELL2	7.269415561	5.212289942
ELMO1	4.21356116	4.451888955
ELMO2	8.663337767	8.058070796
ELMO3	7.140012287	7.286245053
ELMOD2	6.974720965	7.334536855
ELN	5.652404367	5.638171503
ELOF1	9.269783266	9.811935207
ELOVL1	9.264051804	8.995826781
ELOVL2	3.689872585	3.834963931
ELOVL3	5.343097848	3.972962638
ELOVL4	3.669941606	3.617797754
ELOVL5	10.31983887	10.88060205
ELOVL6	6.551501104	7.670416785
ELP3	8.636393604	8.176835377
EMB	4.32590491	3.94636017
EMD	8.806423963	8.966816868
EME1	9.044356571	8.792797088
EMG1	5.782005616	6.148144146
EMILIN1	5.172698603	5.24671006
EMILIN2	7.908165547	7.528861171
EMILIN3	5.677431181	5.903015809
EML1	5.145475243	3.749378847
EML2	3.943866442	3.950348356
EML3	7.671025091	7.406712794
EML4	7.652157416	5.770812121
EMP1	4.582262626	5.504131705
EMP2	9.135951774	9.899607496
EMP3	6.677515753	6.623494784
EMX1	4.117119927	3.983212925
EN1	3.604336176	3.592408204
EN2	4.612293677	3.834715559
ENAH	10.1261591	5.442619757
ENC1	10.07639583	8.575420415
ENDOG	7.562687606	8.459394605
ENG	5.512834625	5.76761866
ENO1	10.85657726	9.876655324
ENO2	6.961439591	5.53265638
ENO3	5.832553118	5.950117583
ENOSF1	9.714817804	8.641309429
ENPEP	3.339506531	6.212136579
ENPP1	5.556984464	6.308640474
ENPP2	3.614105887	3.517660185
ENPP3	3.075846458	3.226140365
ENPP5	3.294749845	5.45920779
ENSA	6.585552093	7.324815942
ENTPD1	5.680030513	5.608635858
ENTPD2	5.476420835	5.702723458
ENTPD3	4.983252988	5.373893616
ENTPD4	10.28258305	8.503293401
ENTPD5	4.937184026	5.506443416
ENTPD6	8.869877102	8.986758969
ENTPD7	7.23430318	6.23030716
ENY2	4.041293522	4.785526109
EOMES	4.737386693	4.536915728
EP300	8.408101623	7.728766894
EPAS1	10.00086155	8.742328295
EPB41	8.145048018	8.834237536
EPB41L1	7.680696102	8.227989534
EPB41L2	8.623268722	7.892823099
EPB41L3	2.958197718	3.140066566
EPB41L4B	8.383647777	10.45882859
EPB41L5	7.344574121	5.009052499
EPC1	8.785324364	8.756066422
EPDR1	3.826358325	9.108772817
EPHA1	8.329783785	7.452234341
EPHA10	6.355308795	5.855503951
EPHA2	8.440784834	8.542050085
EPHA4	6.625327054	8.516059629
EPHA7	4.020649052	4.03017266
EPHA8	4.712963317	4.862638911
EPHB1	3.852075688	6.350578329
EPHB2	6.475903922	10.21844909
EPHB3	6.943779082	8.005242221
EPHB4	8.45043419	8.115960479
EPHB6	5.63889905	9.93562384
EPHX1	6.701234077	7.44649519
EPHX2	6.373229624	5.972908911
EPM2A	5.327202026	5.230406448
EPM2AIP1	8.339382772	8.35711855
EPN2	6.933233541	6.38017587
EPN3	7.914984376	7.765171866
EPO	4.730503988	4.416836937
EPOR	5.406943697	5.853910528
EPRS	7.096022011	6.575350972
EPS15	8.039819063	7.567602569
EPS8	9.485123196	9.769893668
EPS8L1	8.46704469	7.639434302
EPS8L3	6.686289543	7.9159971
EPSTI1	8.5814212	9.398423877
ERAL1	8.641956258	8.565801776
ERBB2	8.655024245	9.684429798
ERBB2IP	9.871540944	9.693065768
ERBB3	9.28146373	10.38619253
ERBB4	3.7557036	3.538542211
ERCC1	5.964975677	7.357433806
ERCC2	6.708155929	6.440818908
ERCC3	8.451109363	8.110748898
ERCC4	5.288608393	6.487959286
ERCC5	7.511979958	9.30497962
ERCC6	5.422081931	4.856299111
EREG	10.30501825	9.965335181
ERF	7.783699883	6.930376949
ERG	3.81402516	3.681859076
ERGIC1	10.23647219	9.32542866
ERGIC3	10.92674947	10.56375029
ERH	11.90735306	12.14170789
ERICH1	4.444972616	4.258149101
ERMAP	5.78460979	6.286652055
ERO1L	9.13630044	8.761018222
ERRFI1	9.497318598	9.734653219
ESAM	6.16299781	5.310083994
ESPL1	8.293362489	8.3156249
ESPN	6.158506998	6.295036334
ESR1	5.49517079	5.704455549
ESR2	4.39528876	4.160148471
ESRRA	8.484559362	8.343160458
ESRRB	3.371008504	3.523868223
ESRRG	4.990910291	4.176273656
ETF1	10.02013166	9.533334776
ETFA	10.4489186	10.6414382
ETFB	9.762537188	10.86434062
ETFDH	5.036642255	7.331071575
ETHE1	8.318611949	9.412441278
ETNK1	6.639662203	6.304558424
ETNK2	5.735243454	5.286430653
ETS1	6.184101945	8.259340516
ETS2	7.356173531	8.157047728
ETV1	3.524263614	4.400631272
ETV3	8.294727264	8.974567783
ETV4	6.113289159	5.895214419
ETV5	8.849345416	8.504408693
ETV6	6.045143848	7.1293064
ETV7	4.071833866	3.776426004
EVC	4.828439078	4.840308561
EVI2B	3.500365017	3.577360055
EVI5	5.46741371	4.468847483
EVI5L	5.831437149	6.14498637
EVL	4.255221523	5.54257788
EVPL	5.297262764	7.683513141
EVX1	5.916454985	5.997319094
EWSR1	6.930271354	6.367682074
EXO1	7.391074911	7.547041787
EXOC1	8.15833942	9.386577533
EXOC6	5.839925426	5.645748334
EXOC7	6.430468134	6.269049116
EXOC8	8.768943167	8.412621364
EXOSC1	9.872824704	9.525071648
EXOSC10	9.233470126	8.689419916
EXOSC2	8.217088394	7.940347517
EXOSC4	8.241803051	8.499216375
EXOSC5	8.222380207	8.887984308
EXOSC6	6.881268718	6.06038815
EXOSC7	9.477373287	9.183435048
EXOSC9	8.950658333	9.250267727
EXPH5	7.734166126	7.89125228
EXT1	6.081534103	6.179461137
EXT2	8.560219189	7.414047517
EXTL1	5.614006038	5.589150623
EXTL2	7.450013207	8.133357071
EXTL3	5.639034289	5.662211117
EYA1	4.32743841	4.396701836
